geo_accession	cell_line	treatment	tissue	dose_nM	time_hours
GSM3234130	A498	erlotinib	Renal	0	24
GSM3234137	A498	erlotinib	Renal	1000	2
GSM3234138	A498	erlotinib	Renal	1000	6
GSM3234136	A498	erlotinib	Renal	1000	24
GSM3234134	A498	erlotinib	Renal	10000	2
GSM3234135	A498	erlotinib	Renal	10000	6
GSM3234133	A498	erlotinib	Renal	10000	24
GSM3235658	A498	lapatinib	Renal	0	2
GSM3235659	A498	lapatinib	Renal	0	6
GSM3235657	A498	lapatinib	Renal	0	24
GSM3235664	A498	lapatinib	Renal	1000	2
GSM3235665	A498	lapatinib	Renal	1000	6
GSM3235663	A498	lapatinib	Renal	1000	24
GSM3235661	A498	lapatinib	Renal	10000	2
GSM3235662	A498	lapatinib	Renal	10000	6
GSM3235660	A498	lapatinib	Renal	10000	24
GSM3236685	A498	sirolimus	Renal	0	2
GSM3236686	A498	sirolimus	Renal	0	6
GSM3236684	A498	sirolimus	Renal	0	24
GSM3236691	A498	sirolimus	Renal	10	2
GSM3236692	A498	sirolimus	Renal	10	6
GSM3236690	A498	sirolimus	Renal	10	24
GSM3236688	A498	sirolimus	Renal	100	2
GSM3236689	A498	sirolimus	Renal	100	6
GSM3236687	A498	sirolimus	Renal	100	24
GSM3237192	A498	sorafenib	Renal	0	2
GSM3237193	A498	sorafenib	Renal	0	6
GSM3237191	A498	sorafenib	Renal	0	24
GSM3237198	A498	sorafenib	Renal	5000	2
GSM3237199	A498	sorafenib	Renal	5000	6
GSM3237197	A498	sorafenib	Renal	5000	24
GSM3237195	A498	sorafenib	Renal	10000	2
GSM3237196	A498	sorafenib	Renal	10000	6
GSM3237194	A498	sorafenib	Renal	10000	24
GSM3237716	A498	sunitinib	Renal	0	2
GSM3237717	A498	sunitinib	Renal	0	6
GSM3237715	A498	sunitinib	Renal	0	24
GSM3237722	A498	sunitinib	Renal	200	2
GSM3237723	A498	sunitinib	Renal	200	6
GSM3237721	A498	sunitinib	Renal	200	24
GSM3237719	A498	sunitinib	Renal	2000	2
GSM3237720	A498	sunitinib	Renal	2000	6
GSM3237718	A498	sunitinib	Renal	2000	24
GSM3238235	A498	topotecan	Renal	0	2
GSM3238236	A498	topotecan	Renal	0	6
GSM3238234	A498	topotecan	Renal	0	24
GSM3238241	A498	topotecan	Renal	10	2
GSM3238242	A498	topotecan	Renal	10	6
GSM3238240	A498	topotecan	Renal	10	24
GSM3238238	A498	topotecan	Renal	1000	2
GSM3238239	A498	topotecan	Renal	1000	6
GSM3238237	A498	topotecan	Renal	1000	24
GSM3231662	A549	5-Azacytidine	Lung	0	2
GSM3231663	A549	5-Azacytidine	Lung	0	6
GSM3231661	A549	5-Azacytidine	Lung	0	24
GSM3231665	A549	5-Azacytidine	Lung	1000	2
GSM3231666	A549	5-Azacytidine	Lung	1000	6
GSM3231664	A549	5-Azacytidine	Lung	1000	24
GSM3231668	A549	5-Azacytidine	Lung	5000	2
GSM3231669	A549	5-Azacytidine	Lung	5000	6
GSM3231667	A549	5-Azacytidine	Lung	5000	24
GSM3232620	A549	cisplatin	Lung	0	2
GSM3232621	A549	cisplatin	Lung	0	6
GSM3232619	A549	cisplatin	Lung	0	24
GSM3232626	A549	cisplatin	Lung	3000	2
GSM3232627	A549	cisplatin	Lung	3000	6
GSM3232625	A549	cisplatin	Lung	3000	24
GSM3232623	A549	cisplatin	Lung	15000	2
GSM3232624	A549	cisplatin	Lung	15000	6
GSM3232622	A549	cisplatin	Lung	15000	24
GSM3234140	A549	erlotinib	Lung	0	2
GSM3234141	A549	erlotinib	Lung	0	6
GSM3234139	A549	erlotinib	Lung	0	24
GSM3234146	A549	erlotinib	Lung	1000	2
GSM3234147	A549	erlotinib	Lung	1000	6
GSM3234145	A549	erlotinib	Lung	1000	24
GSM3234143	A549	erlotinib	Lung	10000	2
GSM3234144	A549	erlotinib	Lung	10000	6
GSM3234142	A549	erlotinib	Lung	10000	24
GSM3235171	A549	gemcitibine	Lung	0	2
GSM3235172	A549	gemcitibine	Lung	0	6
GSM3235170	A549	gemcitibine	Lung	0	24
GSM3235177	A549	gemcitibine	Lung	200	2
GSM3235178	A549	gemcitibine	Lung	200	6
GSM3235176	A549	gemcitibine	Lung	200	24
GSM3235174	A549	gemcitibine	Lung	2000	2
GSM3235175	A549	gemcitibine	Lung	2000	6
GSM3235173	A549	gemcitibine	Lung	2000	24
GSM3235667	A549	lapatinib	Lung	0	2
GSM3235668	A549	lapatinib	Lung	0	6
GSM3235666	A549	lapatinib	Lung	0	24
GSM3235673	A549	lapatinib	Lung	1000	2
GSM3235674	A549	lapatinib	Lung	1000	6
GSM3235672	A549	lapatinib	Lung	1000	24
GSM3235670	A549	lapatinib	Lung	10000	2
GSM3235671	A549	lapatinib	Lung	10000	6
GSM3235669	A549	lapatinib	Lung	10000	24
GSM3236156	A549	paclitaxel	Lung	0	2
GSM3236157	A549	paclitaxel	Lung	0	6
GSM3236155	A549	paclitaxel	Lung	0	24
GSM3236162	A549	paclitaxel	Lung	10	2
GSM3236163	A549	paclitaxel	Lung	10	6
GSM3236161	A549	paclitaxel	Lung	10	24
GSM3236159	A549	paclitaxel	Lung	100	2
GSM3236160	A549	paclitaxel	Lung	100	6
GSM3236158	A549	paclitaxel	Lung	100	24
GSM3236694	A549	sirolimus	Lung	0	2
GSM3236695	A549	sirolimus	Lung	0	6
GSM3236693	A549	sirolimus	Lung	0	24
GSM3236700	A549	sirolimus	Lung	10	2
GSM3236701	A549	sirolimus	Lung	10	6
GSM3236699	A549	sirolimus	Lung	10	24
GSM3236697	A549	sirolimus	Lung	100	2
GSM3236698	A549	sirolimus	Lung	100	6
GSM3236696	A549	sirolimus	Lung	100	24
GSM3237201	A549	sorafenib	Lung	0	2
GSM3237202	A549	sorafenib	Lung	0	6
GSM3237200	A549	sorafenib	Lung	0	24
GSM3237207	A549	sorafenib	Lung	5000	2
GSM3237208	A549	sorafenib	Lung	5000	6
GSM3237206	A549	sorafenib	Lung	5000	24
GSM3237204	A549	sorafenib	Lung	10000	2
GSM3237205	A549	sorafenib	Lung	10000	6
GSM3237203	A549	sorafenib	Lung	10000	24
GSM3232629	ACHN	cisplatin	Renal	0	2
GSM3232630	ACHN	cisplatin	Renal	0	6
GSM3232628	ACHN	cisplatin	Renal	0	24
GSM3232635	ACHN	cisplatin	Renal	3000	2
GSM3232636	ACHN	cisplatin	Renal	3000	6
GSM3232634	ACHN	cisplatin	Renal	3000	24
GSM3232632	ACHN	cisplatin	Renal	15000	2
GSM3232633	ACHN	cisplatin	Renal	15000	6
GSM3232631	ACHN	cisplatin	Renal	15000	24
GSM3233137	ACHN	dasatinib	Renal	0	2
GSM3233138	ACHN	dasatinib	Renal	0	6
GSM3233136	ACHN	dasatinib	Renal	0	24
GSM3233140	ACHN	dasatinib	Renal	100	2
GSM3233141	ACHN	dasatinib	Renal	100	6
GSM3233139	ACHN	dasatinib	Renal	100	24
GSM3233143	ACHN	dasatinib	Renal	2000	2
GSM3233144	ACHN	dasatinib	Renal	2000	6
GSM3233142	ACHN	dasatinib	Renal	2000	24
GSM3233633	ACHN	doxorubicin	Renal	0	2
GSM3233634	ACHN	doxorubicin	Renal	0	6
GSM3233632	ACHN	doxorubicin	Renal	0	24
GSM3233639	ACHN	doxorubicin	Renal	100	2
GSM3233640	ACHN	doxorubicin	Renal	100	6
GSM3233638	ACHN	doxorubicin	Renal	100	24
GSM3233636	ACHN	doxorubicin	Renal	1000	2
GSM3233637	ACHN	doxorubicin	Renal	1000	6
GSM3233635	ACHN	doxorubicin	Renal	1000	24
GSM3236165	ACHN	paclitaxel	Renal	0	2
GSM3236166	ACHN	paclitaxel	Renal	0	6
GSM3236164	ACHN	paclitaxel	Renal	0	24
GSM3236171	ACHN	paclitaxel	Renal	10	2
GSM3236172	ACHN	paclitaxel	Renal	10	6
GSM3236170	ACHN	paclitaxel	Renal	10	24
GSM3236168	ACHN	paclitaxel	Renal	100	2
GSM3236169	ACHN	paclitaxel	Renal	100	6
GSM3236167	ACHN	paclitaxel	Renal	100	24
GSM3237210	ACHN	sorafenib	Renal	0	2
GSM3237211	ACHN	sorafenib	Renal	0	6
GSM3237209	ACHN	sorafenib	Renal	0	24
GSM3237216	ACHN	sorafenib	Renal	5000	2
GSM3237217	ACHN	sorafenib	Renal	5000	6
GSM3237215	ACHN	sorafenib	Renal	5000	24
GSM3237213	ACHN	sorafenib	Renal	10000	2
GSM3237214	ACHN	sorafenib	Renal	10000	6
GSM3237212	ACHN	sorafenib	Renal	10000	24
GSM3237734	ACHN	sunitinib	Renal	0	2
GSM3237735	ACHN	sunitinib	Renal	0	6
GSM3237733	ACHN	sunitinib	Renal	0	24
GSM3237740	ACHN	sunitinib	Renal	200	2
GSM3237741	ACHN	sunitinib	Renal	200	6
GSM3237739	ACHN	sunitinib	Renal	200	24
GSM3237737	ACHN	sunitinib	Renal	2000	2
GSM3237738	ACHN	sunitinib	Renal	2000	6
GSM3237736	ACHN	sunitinib	Renal	2000	24
GSM3232638	BT-549	cisplatin	Breast	0	2
GSM3232639	BT-549	cisplatin	Breast	0	6
GSM3232637	BT-549	cisplatin	Breast	0	24
GSM3232644	BT-549	cisplatin	Breast	3000	2
GSM3232645	BT-549	cisplatin	Breast	3000	6
GSM3232643	BT-549	cisplatin	Breast	3000	24
GSM3232641	BT-549	cisplatin	Breast	15000	2
GSM3232642	BT-549	cisplatin	Breast	15000	6
GSM3232640	BT-549	cisplatin	Breast	15000	24
GSM3233145	BT-549	dasatinib	Breast	0	2
GSM3233146	BT-549	dasatinib	Breast	0	6
GSM3233152	BT-549	dasatinib	Breast	0	24
GSM3233148	BT-549	dasatinib	Breast	100	2
GSM3233149	BT-549	dasatinib	Breast	100	6
GSM3233147	BT-549	dasatinib	Breast	100	24
GSM3233150	BT-549	dasatinib	Breast	2000	2
GSM3233151	BT-549	dasatinib	Breast	2000	6
GSM3233153	BT-549	dasatinib	Breast	2000	24
GSM3233642	BT-549	doxorubicin	Breast	0	2
GSM3233643	BT-549	doxorubicin	Breast	0	6
GSM3233641	BT-549	doxorubicin	Breast	0	24
GSM3233648	BT-549	doxorubicin	Breast	100	2
GSM3233649	BT-549	doxorubicin	Breast	100	6
GSM3233647	BT-549	doxorubicin	Breast	100	24
GSM3233645	BT-549	doxorubicin	Breast	1000	2
GSM3233646	BT-549	doxorubicin	Breast	1000	6
GSM3233644	BT-549	doxorubicin	Breast	1000	24
GSM3235685	BT-549	lapatinib	Breast	0	2
GSM3235686	BT-549	lapatinib	Breast	0	6
GSM3235684	BT-549	lapatinib	Breast	0	24
GSM3235691	BT-549	lapatinib	Breast	1000	2
GSM3235692	BT-549	lapatinib	Breast	1000	6
GSM3235690	BT-549	lapatinib	Breast	1000	24
GSM3235688	BT-549	lapatinib	Breast	10000	2
GSM3235689	BT-549	lapatinib	Breast	10000	6
GSM3235687	BT-549	lapatinib	Breast	10000	24
GSM3236174	BT-549	paclitaxel	Breast	0	2
GSM3236175	BT-549	paclitaxel	Breast	0	6
GSM3236173	BT-549	paclitaxel	Breast	0	24
GSM3236180	BT-549	paclitaxel	Breast	10	2
GSM3236181	BT-549	paclitaxel	Breast	10	6
GSM3236179	BT-549	paclitaxel	Breast	10	24
GSM3236177	BT-549	paclitaxel	Breast	100	2
GSM3236178	BT-549	paclitaxel	Breast	100	6
GSM3236176	BT-549	paclitaxel	Breast	100	24
GSM3236712	BT-549	sirolimus	Breast	0	2
GSM3236713	BT-549	sirolimus	Breast	0	6
GSM3236711	BT-549	sirolimus	Breast	0	24
GSM3236718	BT-549	sirolimus	Breast	10	2
GSM3236719	BT-549	sirolimus	Breast	10	6
GSM3236717	BT-549	sirolimus	Breast	10	24
GSM3236715	BT-549	sirolimus	Breast	100	2
GSM3236716	BT-549	sirolimus	Breast	100	6
GSM3236714	BT-549	sirolimus	Breast	100	24
GSM3237219	BT-549	sorafenib	Breast	0	2
GSM3237220	BT-549	sorafenib	Breast	0	6
GSM3237218	BT-549	sorafenib	Breast	0	24
GSM3237225	BT-549	sorafenib	Breast	5000	2
GSM3237226	BT-549	sorafenib	Breast	5000	6
GSM3237224	BT-549	sorafenib	Breast	5000	24
GSM3237222	BT-549	sorafenib	Breast	10000	2
GSM3237223	BT-549	sorafenib	Breast	10000	6
GSM3237221	BT-549	sorafenib	Breast	10000	24
GSM3238260	BT-549	topotecan	Breast	0	2
GSM3238261	BT-549	topotecan	Breast	0	6
GSM3238259	BT-549	topotecan	Breast	0	24
GSM3238266	BT-549	topotecan	Breast	10	2
GSM3238267	BT-549	topotecan	Breast	10	6
GSM3238265	BT-549	topotecan	Breast	10	24
GSM3238263	BT-549	topotecan	Breast	1000	2
GSM3238264	BT-549	topotecan	Breast	1000	6
GSM3238262	BT-549	topotecan	Breast	1000	24
GSM3238787	BT-549	vorinostat	Breast	0	2
GSM3238788	BT-549	vorinostat	Breast	0	6
GSM3238786	BT-549	vorinostat	Breast	0	24
GSM3238790	BT-549	vorinostat	Breast	1000	2
GSM3238791	BT-549	vorinostat	Breast	1000	6
GSM3238789	BT-549	vorinostat	Breast	1000	24
GSM3238793	BT-549	vorinostat	Breast	5000	2
GSM3238794	BT-549	vorinostat	Breast	5000	6
GSM3238792	BT-549	vorinostat	Breast	5000	24
GSM3231680	CAKI-1	5-Azacytidine	Renal	0	2
GSM3231681	CAKI-1	5-Azacytidine	Renal	0	6
GSM3231679	CAKI-1	5-Azacytidine	Renal	0	24
GSM3231683	CAKI-1	5-Azacytidine	Renal	1000	2
GSM3231684	CAKI-1	5-Azacytidine	Renal	1000	6
GSM3231682	CAKI-1	5-Azacytidine	Renal	1000	24
GSM3231686	CAKI-1	5-Azacytidine	Renal	5000	2
GSM3231687	CAKI-1	5-Azacytidine	Renal	5000	6
GSM3231685	CAKI-1	5-Azacytidine	Renal	5000	24
GSM3232647	CAKI-1	cisplatin	Renal	0	2
GSM3232648	CAKI-1	cisplatin	Renal	0	6
GSM3232646	CAKI-1	cisplatin	Renal	0	24
GSM3232653	CAKI-1	cisplatin	Renal	3000	2
GSM3232654	CAKI-1	cisplatin	Renal	3000	6
GSM3232652	CAKI-1	cisplatin	Renal	3000	24
GSM3232650	CAKI-1	cisplatin	Renal	15000	2
GSM3232651	CAKI-1	cisplatin	Renal	15000	6
GSM3232649	CAKI-1	cisplatin	Renal	15000	24
GSM3233155	CAKI-1	dasatinib	Renal	0	2
GSM3233156	CAKI-1	dasatinib	Renal	0	6
GSM3233154	CAKI-1	dasatinib	Renal	0	24
GSM3233158	CAKI-1	dasatinib	Renal	100	2
GSM3233159	CAKI-1	dasatinib	Renal	100	6
GSM3233157	CAKI-1	dasatinib	Renal	100	24
GSM3233161	CAKI-1	dasatinib	Renal	2000	2
GSM3233162	CAKI-1	dasatinib	Renal	2000	6
GSM3233160	CAKI-1	dasatinib	Renal	2000	24
GSM3233651	CAKI-1	doxorubicin	Renal	0	2
GSM3233652	CAKI-1	doxorubicin	Renal	0	6
GSM3233650	CAKI-1	doxorubicin	Renal	0	24
GSM3233657	CAKI-1	doxorubicin	Renal	100	2
GSM3233658	CAKI-1	doxorubicin	Renal	100	6
GSM3233656	CAKI-1	doxorubicin	Renal	100	24
GSM3233654	CAKI-1	doxorubicin	Renal	1000	2
GSM3233655	CAKI-1	doxorubicin	Renal	1000	6
GSM3233653	CAKI-1	doxorubicin	Renal	1000	24
GSM3234165	CAKI-1	erlotinib	Renal	0	2
GSM3234166	CAKI-1	erlotinib	Renal	0	6
GSM3234164	CAKI-1	erlotinib	Renal	0	24
GSM3234171	CAKI-1	erlotinib	Renal	1000	2
GSM3234172	CAKI-1	erlotinib	Renal	1000	6
GSM3234170	CAKI-1	erlotinib	Renal	1000	24
GSM3234168	CAKI-1	erlotinib	Renal	10000	2
GSM3234169	CAKI-1	erlotinib	Renal	10000	6
GSM3234167	CAKI-1	erlotinib	Renal	10000	24
GSM3234693	CAKI-1	geldanamycin	Renal	0	2
GSM3234694	CAKI-1	geldanamycin	Renal	0	6
GSM3234692	CAKI-1	geldanamycin	Renal	0	24
GSM3234699	CAKI-1	geldanamycin	Renal	100	2
GSM3234700	CAKI-1	geldanamycin	Renal	100	6
GSM3234698	CAKI-1	geldanamycin	Renal	100	24
GSM3234696	CAKI-1	geldanamycin	Renal	1000	2
GSM3234697	CAKI-1	geldanamycin	Renal	1000	6
GSM3234695	CAKI-1	geldanamycin	Renal	1000	24
GSM3235694	CAKI-1	lapatinib	Renal	0	2
GSM3235695	CAKI-1	lapatinib	Renal	0	6
GSM3235693	CAKI-1	lapatinib	Renal	0	24
GSM3235700	CAKI-1	lapatinib	Renal	1000	2
GSM3235701	CAKI-1	lapatinib	Renal	1000	6
GSM3235699	CAKI-1	lapatinib	Renal	1000	24
GSM3235697	CAKI-1	lapatinib	Renal	10000	2
GSM3235698	CAKI-1	lapatinib	Renal	10000	6
GSM3235696	CAKI-1	lapatinib	Renal	10000	24
GSM3236183	CAKI-1	paclitaxel	Renal	0	2
GSM3236184	CAKI-1	paclitaxel	Renal	0	6
GSM3236182	CAKI-1	paclitaxel	Renal	0	24
GSM3236189	CAKI-1	paclitaxel	Renal	10	2
GSM3236190	CAKI-1	paclitaxel	Renal	10	6
GSM3236188	CAKI-1	paclitaxel	Renal	10	24
GSM3236186	CAKI-1	paclitaxel	Renal	100	2
GSM3236187	CAKI-1	paclitaxel	Renal	100	6
GSM3236185	CAKI-1	paclitaxel	Renal	100	24
GSM3237750	CAKI-1	sunitinib	Renal	0	2
GSM3237751	CAKI-1	sunitinib	Renal	0	6
GSM3237749	CAKI-1	sunitinib	Renal	0	24
GSM3237756	CAKI-1	sunitinib	Renal	200	2
GSM3237757	CAKI-1	sunitinib	Renal	200	6
GSM3237755	CAKI-1	sunitinib	Renal	200	24
GSM3237753	CAKI-1	sunitinib	Renal	2000	2
GSM3237754	CAKI-1	sunitinib	Renal	2000	6
GSM3237752	CAKI-1	sunitinib	Renal	2000	24
GSM3238269	CAKI-1	topotecan	Renal	0	2
GSM3238270	CAKI-1	topotecan	Renal	0	6
GSM3238268	CAKI-1	topotecan	Renal	0	24
GSM3238275	CAKI-1	topotecan	Renal	10	2
GSM3238276	CAKI-1	topotecan	Renal	10	6
GSM3238274	CAKI-1	topotecan	Renal	10	24
GSM3238272	CAKI-1	topotecan	Renal	1000	2
GSM3238273	CAKI-1	topotecan	Renal	1000	6
GSM3238271	CAKI-1	topotecan	Renal	1000	24
GSM3238796	CAKI-1	vorinostat	Renal	0	2
GSM3238797	CAKI-1	vorinostat	Renal	0	6
GSM3238795	CAKI-1	vorinostat	Renal	0	24
GSM3238799	CAKI-1	vorinostat	Renal	1000	2
GSM3238800	CAKI-1	vorinostat	Renal	1000	6
GSM3238798	CAKI-1	vorinostat	Renal	1000	24
GSM3238802	CAKI-1	vorinostat	Renal	5000	2
GSM3238803	CAKI-1	vorinostat	Renal	5000	6
GSM3238801	CAKI-1	vorinostat	Renal	5000	24
GSM3231689	CCRF-CEM	5-Azacytidine	Leukemia	0	2
GSM3231690	CCRF-CEM	5-Azacytidine	Leukemia	0	6
GSM3231688	CCRF-CEM	5-Azacytidine	Leukemia	0	24
GSM3231692	CCRF-CEM	5-Azacytidine	Leukemia	1000	2
GSM3231693	CCRF-CEM	5-Azacytidine	Leukemia	1000	6
GSM3231691	CCRF-CEM	5-Azacytidine	Leukemia	1000	24
GSM3231695	CCRF-CEM	5-Azacytidine	Leukemia	5000	2
GSM3231696	CCRF-CEM	5-Azacytidine	Leukemia	5000	6
GSM3231694	CCRF-CEM	5-Azacytidine	Leukemia	5000	24
GSM3236191	CCRF-CEM	paclitaxel	Leukemia	0	2
GSM3236193	CCRF-CEM	paclitaxel	Leukemia	0	6
GSM3236192	CCRF-CEM	paclitaxel	Leukemia	0	24
GSM3236198	CCRF-CEM	paclitaxel	Leukemia	10	2
GSM3236199	CCRF-CEM	paclitaxel	Leukemia	10	6
GSM3236197	CCRF-CEM	paclitaxel	Leukemia	10	24
GSM3236195	CCRF-CEM	paclitaxel	Leukemia	100	2
GSM3236196	CCRF-CEM	paclitaxel	Leukemia	100	6
GSM3236194	CCRF-CEM	paclitaxel	Leukemia	100	24
GSM3237237	CCRF-CEM	sorafenib	Leukemia	0	2
GSM3237238	CCRF-CEM	sorafenib	Leukemia	0	6
GSM3237236	CCRF-CEM	sorafenib	Leukemia	0	24
GSM3237243	CCRF-CEM	sorafenib	Leukemia	5000	2
GSM3237244	CCRF-CEM	sorafenib	Leukemia	5000	6
GSM3237242	CCRF-CEM	sorafenib	Leukemia	5000	24
GSM3237240	CCRF-CEM	sorafenib	Leukemia	10000	2
GSM3237241	CCRF-CEM	sorafenib	Leukemia	10000	6
GSM3237239	CCRF-CEM	sorafenib	Leukemia	10000	24
GSM3238278	CCRF-CEM	topotecan	Leukemia	0	2
GSM3238279	CCRF-CEM	topotecan	Leukemia	0	6
GSM3238277	CCRF-CEM	topotecan	Leukemia	0	24
GSM3238284	CCRF-CEM	topotecan	Leukemia	10	2
GSM3238285	CCRF-CEM	topotecan	Leukemia	10	6
GSM3238283	CCRF-CEM	topotecan	Leukemia	10	24
GSM3238281	CCRF-CEM	topotecan	Leukemia	1000	2
GSM3238282	CCRF-CEM	topotecan	Leukemia	1000	6
GSM3238280	CCRF-CEM	topotecan	Leukemia	1000	24
GSM3232656	COLO-205	cisplatin	Colon	0	2
GSM3232657	COLO-205	cisplatin	Colon	0	6
GSM3232655	COLO-205	cisplatin	Colon	0	24
GSM3232662	COLO-205	cisplatin	Colon	3000	2
GSM3232663	COLO-205	cisplatin	Colon	3000	6
GSM3232661	COLO-205	cisplatin	Colon	3000	24
GSM3232659	COLO-205	cisplatin	Colon	15000	2
GSM3232660	COLO-205	cisplatin	Colon	15000	6
GSM3232658	COLO-205	cisplatin	Colon	15000	24
GSM3234702	COLO-205	geldanamycin	Colon	0	2
GSM3234703	COLO-205	geldanamycin	Colon	0	6
GSM3234701	COLO-205	geldanamycin	Colon	0	24
GSM3234708	COLO-205	geldanamycin	Colon	100	2
GSM3234709	COLO-205	geldanamycin	Colon	100	6
GSM3234707	COLO-205	geldanamycin	Colon	100	24
GSM3234705	COLO-205	geldanamycin	Colon	1000	2
GSM3234706	COLO-205	geldanamycin	Colon	1000	6
GSM3234704	COLO-205	geldanamycin	Colon	1000	24
GSM3235207	COLO-205	gemcitibine	Colon	0	2
GSM3235208	COLO-205	gemcitibine	Colon	0	6
GSM3235206	COLO-205	gemcitibine	Colon	0	24
GSM3235213	COLO-205	gemcitibine	Colon	200	2
GSM3235214	COLO-205	gemcitibine	Colon	200	6
GSM3235212	COLO-205	gemcitibine	Colon	200	24
GSM3235210	COLO-205	gemcitibine	Colon	2000	2
GSM3235211	COLO-205	gemcitibine	Colon	2000	6
GSM3235209	COLO-205	gemcitibine	Colon	2000	24
GSM3235703	COLO-205	lapatinib	Colon	0	2
GSM3235704	COLO-205	lapatinib	Colon	0	6
GSM3235702	COLO-205	lapatinib	Colon	0	24
GSM3235709	COLO-205	lapatinib	Colon	1000	2
GSM3235710	COLO-205	lapatinib	Colon	1000	6
GSM3235708	COLO-205	lapatinib	Colon	1000	24
GSM3235706	COLO-205	lapatinib	Colon	10000	2
GSM3235707	COLO-205	lapatinib	Colon	10000	6
GSM3235705	COLO-205	lapatinib	Colon	10000	24
GSM3236201	COLO-205	paclitaxel	Colon	0	2
GSM3236202	COLO-205	paclitaxel	Colon	0	6
GSM3236200	COLO-205	paclitaxel	Colon	0	24
GSM3236207	COLO-205	paclitaxel	Colon	10	2
GSM3236208	COLO-205	paclitaxel	Colon	10	6
GSM3236206	COLO-205	paclitaxel	Colon	10	24
GSM3236204	COLO-205	paclitaxel	Colon	100	2
GSM3236205	COLO-205	paclitaxel	Colon	100	6
GSM3236203	COLO-205	paclitaxel	Colon	100	24
GSM3237246	COLO-205	sorafenib	Colon	0	2
GSM3237247	COLO-205	sorafenib	Colon	0	6
GSM3237245	COLO-205	sorafenib	Colon	0	24
GSM3237252	COLO-205	sorafenib	Colon	5000	2
GSM3237253	COLO-205	sorafenib	Colon	5000	6
GSM3237251	COLO-205	sorafenib	Colon	5000	24
GSM3237249	COLO-205	sorafenib	Colon	10000	2
GSM3237250	COLO-205	sorafenib	Colon	10000	6
GSM3237248	COLO-205	sorafenib	Colon	10000	24
GSM3237768	COLO-205	sunitinib	Colon	0	2
